Modelo,RMSE_CV,RMSE_sd,MAE_CV,R2_CV
Lasso,85.16078738991808,3.0355992123928117,68.08859649190379,0.9910389560958505
Regresión Lineal,85.18987947352709,3.0361816824034107,68.11102487927556,0.9910328243598172
Ridge,85.3403973239818,3.1251361550173278,68.28325287390322,0.9910003319439568
ElasticNet,86.52091750781811,3.2023868449662047,69.47238520280774,0.9907480391359529
Gradient Boosting,89.70292601274612,2.4895334037735313,71.16220227165307,0.9900195447026107
XGBoost,93.07465773296173,3.0895201486872623,74.27831380844115,0.9892493355846655
LightGBM,93.11592442201945,3.7389864846440277,74.59175034219705,0.9892452011581894
Random Forest,104.04229221384432,4.99136329968625,81.9771921875001,0.9865134656847026
SVR (RBF),145.13316176051174,7.134622475935887,109.95317789506885,0.9738457176961287
KNN (k=10),193.71522043510876,6.878661281616871,155.13762499999999,0.9536201840982514
Baseline (media),902.8005544866941,26.326334598471167,783.061883984375,-0.005926076129289903
